fiscal_year,fiscal_quarter,quarter_end_date,dimension_type,dimension,revenue_musd
2022,Q1,2021-12-25,Geography,Japan,
2022,Q1,2021-12-25,Geography,Rest of Asia Pacific,
2022,Q2,2022-03-26,Category,iPhone,
2022,Q2,2022-03-26,Category,Mac,
2022,Q2,2022-03-26,Category,iPad,
2022,Q2,2022-03-26,Category,Wearables Home and Accessories,
2022,Q2,2022-03-26,Category,Services,
2022,Q2,2022-03-26,Geography,Americas,
2022,Q2,2022-03-26,Geography,Europe,
2022,Q2,2022-03-26,Geography,Greater China,
2022,Q2,2022-03-26,Geography,Japan,
2022,Q2,2022-03-26,Geography,Rest of Asia Pacific,
2022,Q3,2022-06-25,Category,iPhone,
2022,Q3,2022-06-25,Category,Mac,
2022,Q3,2022-06-25,Category,iPad,
2022,Q3,2022-06-25,Category,Wearables Home and Accessories,
2022,Q3,2022-06-25,Category,Services,
2022,Q3,2022-06-25,Geography,Americas,
2022,Q3,2022-06-25,Geography,Europe,
2022,Q3,2022-06-25,Geography,Greater China,
2022,Q3,2022-06-25,Geography,Japan,
2022,Q3,2022-06-25,Geography,Rest of Asia Pacific,
2022,Q4,2022-09-24,Category,iPhone,
2022,Q4,2022-09-24,Category,Mac,
2022,Q4,2022-09-24,Category,iPad,
2022,Q4,2022-09-24,Category,Wearables Home and Accessories,
2022,Q4,2022-09-24,Category,Services,
2022,Q4,2022-09-24,Geography,Americas,
2022,Q4,2022-09-24,Geography,Europe,
2022,Q4,2022-09-24,Geography,Greater China,
2022,Q4,2022-09-24,Geography,Japan,
2022,Q4,2022-09-24,Geography,Rest of Asia Pacific,
2023,Q1,2022-12-31,Category,iPhone,65775
2023,Q1,2022-12-31,Category,Mac,7735
2023,Q1,2022-12-31,Category,iPad,9396
2023,Q1,2022-12-31,Category,Wearables Home and Accessories,13482
2023,Q1,2022-12-31,Category,Services,20766
2023,Q1,2022-12-31,Geography,Americas,
2023,Q1,2022-12-31,Geography,Europe,
2023,Q1,2022-12-31,Geography,Greater China,
2023,Q1,2022-12-31,Geography,Japan,
2023,Q1,2022-12-31,Geography,Rest of Asia Pacific,
2023,Q2,2023-04-01,Category,iPhone,
2023,Q2,2023-04-01,Category,Mac,
2023,Q2,2023-04-01,Category,iPad,
2023,Q2,2023-04-01,Category,Wearables Home and Accessories,
2023,Q2,2023-04-01,Category,Services,
2023,Q2,2023-04-01,Geography,Americas,
2023,Q2,2023-04-01,Geography,Europe,
2023,Q2,2023-04-01,Geography,Greater China,
2023,Q2,2023-04-01,Geography,Japan,
2023,Q2,2023-04-01,Geography,Rest of Asia Pacific,
2023,Q3,2023-07-01,Category,iPhone,
2023,Q3,2023-07-01,Category,Mac,
2023,Q3,2023-07-01,Category,iPad,
2023,Q3,2023-07-01,Category,Wearables Home and Accessories,
2023,Q3,2023-07-01,Category,Services,
2023,Q3,2023-07-01,Geography,Americas,
2023,Q3,2023-07-01,Geography,Europe,
2023,Q3,2023-07-01,Geography,Greater China,
2023,Q3,2023-07-01,Geography,Japan,
2023,Q3,2023-07-01,Geography,Rest of Asia Pacific,
2023,Q4,2023-09-30,Category,iPhone,
2023,Q4,2023-09-30,Category,Mac,
2023,Q4,2023-09-30,Category,iPad,
2023,Q4,2023-09-30,Category,Wearables Home and Accessories,
2023,Q4,2023-09-30,Category,Services,
2023,Q4,2023-09-30,Geography,Americas,
2023,Q4,2023-09-30,Geography,Europe,
2023,Q4,2023-09-30,Geography,Greater China,
2023,Q4,2023-09-30,Geography,Japan,
2023,Q4,2023-09-30,Geography,Rest of Asia Pacific,
2024,Q1,2023-12-30,Category,iPhone,
2024,Q1,2023-12-30,Category,Mac,
2024,Q1,2023-12-30,Category,iPad,
2024,Q1,2023-12-30,Category,Wearables Home and Accessories,
2024,Q1,2023-12-30,Category,Services,
2024,Q1,2023-12-30,Geography,Americas,
2024,Q1,2023-12-30,Geography,Europe,
2024,Q1,2023-12-30,Geography,Greater China,
2024,Q1,2023-12-30,Geography,Japan,
2024,Q1,2023-12-30,Geography,Rest of Asia Pacific,
2024,Q2,2024-03-30,Category,iPhone,
2024,Q2,2024-03-30,Category,Mac,
2024,Q2,2024-03-30,Category,iPad,
2024,Q2,2024-03-30,Category,Wearables Home and Accessories,
2024,Q2,2024-03-30,Category,Services,
2024,Q2,2024-03-30,Geography,Americas,
2024,Q2,2024-03-30,Geography,Europe,
2024,Q2,2024-03-30,Geography,Greater China,
2024,Q2,2024-03-30,Geography,Japan,
2024,Q2,2024-03-30,Geography,Rest of Asia Pacific,
2024,Q3,2024-06-29,Category,iPhone,
2024,Q3,2024-06-29,Category,Mac,
2024,Q3,2024-06-29,Category,iPad,
2024,Q3,2024-06-29,Category,Wearables Home and Accessories,
2024,Q3,2024-06-29,Category,Services,
2024,Q3,2024-06-29,Geography,Americas,
2024,Q3,2024-06-29,Geography,Europe,
2024,Q3,2024-06-29,Geography,Greater China,
2024,Q3,2024-06-29,Geography,Japan,
2024,Q3,2024-06-29,Geography,Rest of Asia Pacific,
2024,Q4,2024-09-28,Category,iPhone,
2024,Q4,2024-09-28,Category,Mac,
2024,Q4,2024-09-28,Category,iPad,
2024,Q4,2024-09-28,Category,Wearables Home and Accessories,
2024,Q4,2024-09-28,Category,Services,
2024,Q4,2024-09-28,Geography,Americas,
2024,Q4,2024-09-28,Geography,Europe,
2024,Q4,2024-09-28,Geography,Greater China,
2024,Q4,2024-09-28,Geography,Japan,
2024,Q4,2024-09-28,Geography,Rest of Asia Pacific,
2025,Q1,2024-12-28,Category,iPhone,
2025,Q1,2024-12-28,Category,Mac,
2025,Q1,2024-12-28,Category,iPad,
2025,Q1,2024-12-28,Category,Wearables Home and Accessories,
2025,Q1,2024-12-28,Category,Services,
2025,Q1,2024-12-28,Geography,Americas,
2025,Q1,2024-12-28,Geography,Europe,
2025,Q1,2024-12-28,Geography,Greater China,
2025,Q1,2024-12-28,Geography,Japan,
2025,Q1,2024-12-28,Geography,Rest of Asia Pacific,
2025,Q2,2025-03-29,Category,iPhone,
2025,Q2,2025-03-29,Category,Mac,
2025,Q2,2025-03-29,Category,iPad,
2025,Q2,2025-03-29,Category,Wearables Home and Accessories,
2025,Q2,2025-03-29,Category,Services,
2025,Q2,2025-03-29,Geography,Americas,
2025,Q2,2025-03-29,Geography,Europe,
2025,Q2,2025-03-29,Geography,Greater China,
2025,Q2,2025-03-29,Geography,Japan,
2025,Q2,2025-03-29,Geography,Rest of Asia Pacific,
2025,Q3,2025-06-28,Category,iPhone,
2025,Q3,2025-06-28,Category,Mac,
2025,Q3,2025-06-28,Category,iPad,
2025,Q3,2025-06-28,Category,Wearables Home and Accessories,
2025,Q3,2025-06-28,Category,Services,
2025,Q3,2025-06-28,Geography,Americas,
2025,Q3,2025-06-28,Geography,Europe,
2025,Q3,2025-06-28,Geography,Greater China,
2025,Q3,2025-06-28,Geography,Japan,
2025,Q3,2025-06-28,Geography,Rest of Asia Pacific,
2025,Q4,2025-09-27,Category,iPhone,
2025,Q4,2025-09-27,Category,Mac,
2025,Q4,2025-09-27,Category,iPad,
2025,Q4,2025-09-27,Category,Wearables Home and Accessories,
2025,Q4,2025-09-27,Category,Services,
2025,Q4,2025-09-27,Geography,Americas,
2025,Q4,2025-09-27,Geography,Europe,
2025,Q4,2025-09-27,Geography,Greater China,
2025,Q4,2025-09-27,Geography,Japan,
2025,Q4,2025-09-27,Geography,Rest of Asia Pacific,
2026,Q1,2025-12-27,Category,iPhone,
2026,Q1,2025-12-27,Category,Mac,
2026,Q1,2025-12-27,Category,iPad,
2026,Q1,2025-12-27,Category,Wearables Home and Accessories,
2026,Q1,2025-12-27,Category,Services,
2026,Q1,2025-12-27,Geography,Americas,
2026,Q1,2025-12-27,Geography,Europe,
2026,Q1,2025-12-27,Geography,Greater China,
2026,Q1,2025-12-27,Geography,Japan,
2026,Q1,2025-12-27,Geography,Rest of Asia Pacific,
2026,Q2,2026-03-28,Category,iPhone,
2026,Q2,2026-03-28,Category,Mac,
2026,Q2,2026-03-28,Category,iPad,
2026,Q2,2026-03-28,Category,Wearables Home and Accessories,
2026,Q2,2026-03-28,Category,Services,
2026,Q2,2026-03-28,Geography,Americas,
2026,Q2,2026-03-28,Geography,Europe,
2026,Q2,2026-03-28,Geography,Greater China,
2026,Q2,2026-03-28,Geography,Japan,
2026,Q2,2026-03-28,Geography,Rest of Asia Pacific,
2026,Q3,2026-06-27,Category,iPhone,54300
2026,Q3,2026-06-27,Category,Services,30700
2026,Q3,2026-06-27,Geography,Americas,
2026,Q3,2026-06-27,Geography,Europe,
2026,Q3,2026-06-27,Geography,Greater China,
2026,Q3,2026-06-27,Geography,Japan,
2026,Q3,2026-06-27,Geography,Rest of Asia Pacific,
